EVN.AX,3.25B,2.22
EVO.AX,161.67M,0.92
EVT.AX,2.45B,15.43
EVZ.AX,2.32M,0.011
EWC.AX,251.45M,0.145
EXC.AX,8.45M,0.042
EXG.AX,45.38M,0.08
EXM.AX,1.30M,0.008
EXO.AX,1.17M,0.004
EXR.AX,1.26M,0.001
EXU.AX,10.38M,0.054
EYM.AX,4.38M,0.003
EZA.AX,N/A,0.12
EZL.AX,127.33M,0.80
FAN.AX,204.97M,1.985
FAR.AX,295.49M,0.08
FAS.AX,N/A,0.004
FBR.AX,405972.00,0.021
FBU.AX,5.51B,7.98
FCG.AX,41.44M,0.15
FCN.AX,3.89M,0.015
FCR.AX,3.70M,0.006
FCT.AX,N/A,N/A
FEL.AX,8.39M,0.036
FET.AX,675.93M,2.74
FFC.AX,17.21M,0.135
FFG.AX,7.93M,0.049
FFI.AX,34.04M,3.44
FFT.AX,72.39M,0.595
FGF.AX,3.57M,0.008
FGG.AX,292.93B,1.06
FGI.AX,8.92M,0.11
FGR.AX,28.00M,0.10
FGX.AX,251.99B,1.115
FID.AX,72.89M,2.35
FLK.AX,128.16M,0.87
FLN.AX,745.39M,1.63
FLR.AX,1.71M,0.003
FLT.AX,3.83B,37.98
FMA.AX,N/A,N/A
FMG.AX,8.97B,2.88
FML.AX,74.93M,0.41
FMM.AX,N/A,N/A
FMS.AX,69.24M,0.025
FND.AX,107.79M,0.16
FNP.AX,594.01M,3.31
FNT.AX,1.01M,0.031
FOB.AX,N/A,N/A
FOD.AX,N/A,0.19
FOY.AX,5.74M,0.125
FPH.AX,5.00B,8.95
FRC.AX,N/A,0.02
FRE.AX,865659.06,0.001
FRI.AX,206.17M,0.89
FRM.AX,109.81M,1.99
FRN.AX,759000.00,0.024
FRX.AX,28.23M,0.15
FSA.AX,129.47M,1.035
FSE.AX,N/A,0.005
FSF.AX,554.96M,5.34
FSI.AX,36.36B,1.43
FTT.AX,26.08B,0.036
FTZ.AX,11.87M,0.20
FUN.AX,12.01M,0.018
FWD.AX,100.71M,1.65
FXJ.AX,2.09B,0.91
FXL.AX,930.75M,2.50
FXR.AX,N/A,0.002
FYI.AX,5.70M,0.07
FZR.AX,15.89M,0.175
G8C.AX,1.72M,0.043
GAP.AX,92.22M,0.31
GBA.AX,765825.00,0.025
GBE.AX,10.33M,0.022
GBG.AX,32.90M,0.022
GBI.AX,21.42M,0.215
GBM.AX,9.46M,0.01
GBP.AX,5.94M,0.03
GBT.AX,333.74M,4.95
GBX.AX,4.53M,0.005
GBZ.AX,8.39M,0.014
GC1.AX,24.06B,0.96
GCN.AX,757057.00,0.007
GCR.AX,3.03M,0.03
GCS.AX,80.11M,0.40
GCY.AX,105.19M,0.51
GDA.AX,N/A,0.10
GDF.AX,92.34B,0.95
GDI.AX,476.85M,0.885
GDY.AX,14.08M,0.025
GED.AX,724598.00,0.007
GEE.AX,N/A,N/A
GEG.AX,138.60M,1.09
GEM.AX,1.52B,4.05
GER.AX,18.23M,0.07
GES.AX,18.04M,0.06
GFI.AX,N/A,0.26
GFL.AX,12.05M,1.405
GFY.AX,47.31M,1.165
GGE.AX,3.74M,0.005
GGG.AX,23.63M,0.03
GGH.AX,1.50M,0.002
GGL.AX,N/A,N/A
GGX.AX,2.43M,0.003
GHC.AX,483.21M,2.25
GID.AX,8.55M,0.018
GJT.AX,267.68M,2.54
GLA.AX,925254.06,0.002
GLB.AX,48.54M,1.17
GLE.AX,N/A,0.23
GLF.AX,24.55M,0.009
GLH.AX,14.76M,0.45
GLL.AX,11.52M,0.076
GLN.AX,4.83M,0.008
GMA.AX,1.74B,2.69
GMC.AX,576027.00,0.003
GMD.AX,8.49M,0.019
GME.AX,15.23M,0.033
GMF.AX,N/A,2.30
GMG.AX,12.82B,7.24
GML.AX,4.69M,0.016
GMM.AX,195.74M,0.63
GMN.AX,7.79M,0.038
GMP.AX,N/A,N/A
GMR.AX,7.19M,0.005
GMY.AX,13.47M,0.86
GNC.AX,1.77B,7.72
GNE.AX,2.02B,2.02
GNG.AX,145.57M,0.955
GNV.AX,N/A,0.026
GNX.AX,23.76M,0.15
GOE.AX,26.69M,0.027
GOL.AX,N/A,N/A
GOR.AX,388.35M,0.56
GOW.AX,178.79M,3.33
GOZ.AX,1.82B,3.19
GPH.AX,10.96M,0.11
GPP.AX,647255.00,0.007
GPR.AX,31.98M,0.04
GPS.AX,N/A,0.085
GPT.AX,9.30B,5.18
GPX.AX,N/A,N/A
GRA.AX,N/A,0.36
GRB.AX,20.04M,0.047
GRR.AX,111.10M,0.096
GRV.AX,3.17M,0.034
GRY.AX,60.19M,0.15
GSB.AX,N/A,N/A
GSC.AX,36.21M,0.006
GSE.AX,597261.00,0.051
GSI.AX,N/A,N/A
